,Recording,Recorder,Date,Time,Filename,Municipio,Vereda,Latitud,Longitud,Elevacion,Habitat,Rain_occurrence,Rain_Intesity,Intensity_Category
15121,G47_20180627_000000,G47,2018/06/27,00:00:00,G47_20180627_000000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15122,G47_20180627_001600,G47,2018/06/27,00:16:00,G47_20180627_001600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15123,G47_20180627_003200,G47,2018/06/27,00:32:00,G47_20180627_003200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15124,G47_20180627_004800,G47,2018/06/27,00:48:00,G47_20180627_004800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15125,G47_20180627_010400,G47,2018/06/27,01:04:00,G47_20180627_010400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15126,G47_20180627_012000,G47,2018/06/27,01:20:00,G47_20180627_012000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15127,G47_20180627_013600,G47,2018/06/27,01:36:00,G47_20180627_013600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15128,G47_20180627_015200,G47,2018/06/27,01:52:00,G47_20180627_015200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15129,G47_20180627_020800,G47,2018/06/27,02:08:00,G47_20180627_020800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15130,G47_20180627_022400,G47,2018/06/27,02:24:00,G47_20180627_022400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15131,G47_20180627_024000,G47,2018/06/27,02:40:00,G47_20180627_024000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
